Cod. Reg;Regione / Region;Cod. Prov.;Provincia / Province;Comune / Municipality;Cod. Istat;flag;Arrivi / Arrivals;;;;;;;;;;Presenze / Nights spent;;;;;;;;
;;;;;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;
;;;;;;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals
 010 ;PIEMONTE;001;TORINO;Alpignano;001008;; 3.233 ; 421 ; 3.654 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 7.545 ; 868 ; 8.413 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Avigliana;001013;; 15.624 ; 2.115 ; 17.739 ; 10.342 ; 1.444 ; 11.786 ; 5.282 ; 671 ; 5.953 ;; 59.255 ; 5.234 ; 64.489 ; 29.339 ; 3.781 ; 33.120 ; 29.916 ; 1.453 ; 31.369 
 010 ;PIEMONTE;001;TORINO;Baldissero Canavese;001017;; 99 ; 875 ; 974 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 147 ; 2.863 ; 3.010 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Bardonecchia;001022;; 49.090 ; 11.646 ; 60.736 ; 41.352 ; 11.123 ; 52.475 ; 7.738 ; 523 ; 8.261 ;; 181.564 ; 50.464 ; 232.028 ; 149.522 ; 48.226 ; 197.748 ; 32.042 ; 2.238 ; 34.280 
 010 ;PIEMONTE;001;TORINO;Borgaro Torinese;001028;; 22.147 ; 8.098 ; 30.245 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 47.186 ; 24.696 ; 71.882 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Candia Canavese;001050;; 1.389 ; 527 ; 1.916 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 2.105 ; 796 ; 2.901 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Carmagnola;001059;; 3.976 ; 1.839 ; 5.815 ; 2.825 ; 1.015 ; 3.840 ; 1.151 ; 824 ; 1.975 ;; 8.566 ; 3.803 ; 12.369 ; 5.113 ; 1.755 ; 6.868 ; 3.453 ; 2.048 ; 5.501 
 010 ;PIEMONTE;001;TORINO;Caselle Torinese;001063;; 7.450 ; 5.196 ; 12.646 ; 7.013 ; 5.143 ; 12.156 ; 437 ; 53 ; 490 ;; 16.043 ; 7.267 ; 23.310 ; 15.419 ; 7.139 ; 22.558 ; 624 ; 128 ; 752 
 010 ;PIEMONTE;001;TORINO;Castellamonte;001066;; 1.183 ; 100 ; 1.283 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 2.915 ; 279 ; 3.194 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Cavour;001070;; 875 ; 185 ; 1.060 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 2.243 ; 414 ; 2.657 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Ceresole Reale;001073;; 8.043 ; 666 ; 8.709 ; 2.860 ; 408 ; 3.268 ; 5.183 ; 258 ; 5.441 ;; 22.365 ; 1.434 ; 23.799 ; 7.473 ; 779 ; 8.252 ; 14.892 ; 655 ; 15.547 
 010 ;PIEMONTE;001;TORINO;Cesana Torinese;001074;; 11.272 ; 2.158 ; 13.430 ; 8.117 ; 2.112 ; 10.229 ; 3.155 ; 46 ; 3.201 ;; 49.082 ; 9.146 ; 58.228 ; 38.271 ; 9.072 ; 47.343 ; 10.811 ; 74 ; 10.885 
 010 ;PIEMONTE;001;TORINO;Chialamberto;001075;; 117 ; 2 ; 119 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.347 ; 2 ; 1.349 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Chieri;001078;; 5.223 ; 82 ; 5.305 ; 4.974 ; -   ; 4.974 ; 249 ; 82 ; 331 ;; 10.495 ; 209 ; 10.704 ; 9.810 ; -   ; 9.810 ; 685 ; 209 ; 894 
